"Percentile","Expected Outcome"
0,0.00572115160610295
0.05,0.00595134476719293
0.1,0.00609399237768054
0.15,0.00655839554164051
0.2,0.00684348803405098
0.25,0.00755437436930127
0.3,0.00750352933563956
0.35,0.00773688473530165
0.4,0.00810649568618803
0.45,0.00843127305770766
0.5,0.00871767681865893
0.55,0.00899738253333513
0.6,0.00937849650917372
0.65,0.00984531170528259
0.7,0.00993659350778238
0.75,0.0098895425658869
0.8,0.010265652675592
0.85,0.010361527197551
0.9,0.0105935868294302
0.95,0.010684770221631
1,0.0113466327283092
