"Percentile","men_treatment","women_treatment"
0,0,0
0.05,5.0005687291433,6.32275516000077
0.1,2.48899638042217,3.06509158867931
0.15,1.65837543327717,2.0403607350865
0.2,1.24341634763618,1.53140633235101
0.25,0.994525763619765,1.2244362531623
0.3,0.828522769016787,1.02023136955936
0.35,0.710312840561905,0.874283750994324
0.4,0.621730518491595,0.765070365252419
0.45,0.552300477514167,0.679844697049235
0.5,0.497173735667915,0.611952179060744
0.55,0.452038708077317,0.556395426250105
0.6,0.414224914788695,0.50995792317864
0.65,0.382412414587892,0.470718144310379
0.7,0.355133705318815,0.437055830063652
0.75,0.33134816698535,0.407937172840791
0.8,0.310720604492803,0.38240609795402
0.85,0.292414057076169,0.359958560081487
0.9,0.276163777120485,0.339910321576931
0.95,0.26158605685963,0.322017638924359
1,0.770161081852163,0.423601740530449
