"Percentile","men_treatment","women_treatment"
0,0,0
0.05,0.0895569000814147,0.0611740345691029
0.1,0.0868891646649533,0.0821593360925671
0.15,0.0871244392115798,0.0646074215432027
0.2,0.080420641464102,0.0650905395640471
0.25,0.0798142684122807,0.0641373153524962
0.3,0.0822587759467278,0.0641194142482496
0.35,0.0772889867636312,0.0619902899479217
0.4,0.077066410331055,0.058530589716425
0.45,0.0774117495040281,0.0565590274822058
0.5,0.0781250058091631,0.0542221696378877
0.55,0.0776555481601205,0.0523341288841044
0.6,0.0775988363537809,0.0527806893000654
0.65,0.0771832143451713,0.0514249097984781
0.7,0.0761779607591607,0.0517358417131492
0.75,0.077548508588915,0.0510628752720218
0.8,0.0779008158313981,0.0501316602914317
0.85,0.0774072257407455,0.048548841488174
0.9,0.0769819488894437,0.047499941716258
0.95,0.0770393066505446,0.0458934585409429
1,0.076662821707791,0.0452583106920385
