"Percentile","men_treatment","women_treatment","max T"
0,0,0,0
0.05,1.083201767127,0.413583965269633,1.41121040789726
0.1,0.628987023937176,0.625301572334571,0.847871553035461
0.15,-0.104208633258891,-0.0759221598864894,0.100466377189656
0.2,-0.365594351934329,-0.262554096265973,-0.135928949462771
0.25,-0.148310910436564,-0.0517224157838926,0.029359255031314
0.3,0.0813037486777755,0.110247081443137,0.237547992192486
0.35,-0.578580518066055,-0.512439762626321,-0.413868799001754
0.4,-0.467916933334686,-0.418594618190091,-0.333193720351499
0.45,-0.385808809440116,-0.27729217153271,-0.260623801229686
0.5,-0.398376523977067,-0.325816632060704,-0.275443511162717
0.55,-0.386078730365214,-0.278584417586933,-0.243334195697813
0.6,-0.406766420223479,-0.330267277897969,-0.305607690718912
0.65,-0.36548193864679,-0.293135064548627,-0.275138051086032
0.7,-0.379581327194346,-0.363970790412989,-0.315119486235576
0.75,-0.410859814740961,-0.390913281901279,-0.338940317330926
0.8,-0.377702785201235,-0.353729005848604,-0.326464903319169
0.85,-0.342824265990153,-0.303176293619956,-0.288191973157389
0.9,-0.290044815954754,-0.283585503778463,-0.257411300323005
0.95,-0.278879837526113,-0.307539737854644,-0.269573916635893
1,-0.267486663992367,-0.276031587391927,-0.249128371845334
