"Percentile","Expected Outcome"
0,0.0057211542796338
0.05,0.00619029475925322
0.1,0.00685146295927432
0.15,0.00722952028448061
0.2,0.007841653882675
0.25,0.00821725652937927
0.3,0.00858972412411855
0.35,0.00924931854645269
0.4,0.00920287500880279
0.45,0.00962425180822332
0.5,0.00980757234812704
0.55,0.010326320574118
0.6,0.0106561146904971
0.65,0.0110788665788846
0.7,0.0111715860378257
0.75,0.0111723753098614
0.8,0.0114105932010458
0.85,0.0117903218913245
0.9,0.012125359347098
0.95,0.0123104483449584
1,0.0124515037286131
