"Percentile","men_treatment","women_treatment"
0,0,0
0.05,0.0728367141920248,0.0642161846329229
0.1,0.090259702957994,0.0701335209996278
0.15,0.0854432171066947,0.0670913280590232
0.2,0.0807286394767973,0.0670601392821523
0.25,0.079755677267965,0.0664672049503497
0.3,0.0839691025116212,0.0706088068196321
0.35,0.0854129837734096,0.0675455619789521
0.4,0.0851411882506054,0.0701758421133381
0.45,0.0875266013118551,0.0696923969598129
0.5,0.084902457345356,0.0656190290887523
0.55,0.0853549430991979,0.0625431784374023
0.6,0.0838170411525947,0.0586911791832554
0.65,0.0805081737306525,0.0556315556132917
0.7,0.0781176183959049,0.051422396152345
0.75,0.0771882248794621,0.0512064816874617
0.8,0.0745005529291021,0.0496917879932673
0.85,0.0746792037984468,0.0481975468986213
0.9,0.0760219059931645,0.0481498417369927
0.95,0.0766729305425253,0.0456912312956845
1,0.076662821707791,0.0452583106920385
