"Percentile","Expected Outcome"
0,0.0057211542796338
0.05,0.0060956388383341
0.1,0.00609796327181087
0.15,0.00665816312058291
0.2,0.00684490393079247
0.25,0.00741596179606048
0.3,0.00736836541338556
0.35,0.00825732633128021
0.4,0.00825732633128021
0.45,0.0108901677596699
0.5,0.0108901677596699
0.55,0.0108901677596699
0.6,0.0108901677596699
0.65,0.0108901677596699
0.7,0.0108901677596699
0.75,0.0108901677596699
0.8,0.0108901677596699
0.85,0.0108901677596699
0.9,0.0111680333160283
0.95,0.011783975144759
1,0.0118784630598467
