"Percentile","men_treatment","women_treatment"
0,0,0
0.05,0.0705064374883205,0.0773697125909634
0.1,0.0856562460427675,0.065065005675327
0.15,0.084591686610729,0.0689565510632937
0.2,0.0801115318867299,0.070454255673804
0.25,0.0779345441977783,0.0667663931925876
0.3,0.0807881966993052,0.0711687527248771
0.35,0.0811390819918429,0.0744260810794092
0.4,0.0809131991935454,0.0717337963957141
0.45,0.079226589016324,0.0737098034902652
0.5,0.0775473822433354,0.0729468632273321
0.55,0.0773205952226255,0.06925302403111
0.6,0.0779110483459555,0.0667273148028195
0.65,0.0771596852258354,0.0622692726483383
0.7,0.0772894385573459,0.0580584053779236
0.75,0.0768134538031195,0.0549851579532377
0.8,0.0763184624180844,0.0520610035312139
0.85,0.0770070195265924,0.0506300895131243
0.9,0.0768507405549722,0.0494014283249594
0.95,0.0769849810867306,0.0472273058034793
1,0.076662821707791,0.0452583106920385
