"Percentile","Expected Outcome"
0,0.0057211542796338
0.05,0.00595349207778285
0.1,0.00689063014900249
0.15,0.00726496802462297
0.2,0.00731286217820733
0.25,0.0077818778036404
0.3,0.00806785071692568
0.35,0.0087214452041166
0.4,0.0089088934061535
0.45,0.00923409477029136
0.5,0.00937879552623138
0.55,0.00961263349660624
0.6,0.00961267217209301
0.65,0.00979799387288741
0.7,0.00970218463691493
0.75,0.0100765372323277
0.8,0.011013460851627
0.85,0.0115724208764869
0.9,0.0117603733382442
0.95,0.0119985745866317
1,0.012238335576247
