"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,3.57704077340681,5.35985826763756,7.19986055331902
0.2,15.0982127482,8.35399786244709,12.8971236030143
0.3,27.7376916425074,16.1395647448397,19.2217613409574
0.4,31.4199871820825,15.5259799136411,27.2651101128454
0.5,39.8139852809879,22.7248555542726,31.4983384800157
0.6,50.5856943255467,25.6676126524379,35.3940162974539
0.7,63.1798061118411,27.3671470301841,44.0717680228825
0.8,69.2162513979883,35.699780806054,50.9160080069969
0.9,77.092214860609,39.2881279720526,56.3348407728258
1,87.3413900019208,39.8316191683695,63.5064601034004
