"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,12.1210317855026,4.43213400124326,7.91144507836995
0.2,18.3734299636112,17.0923107959515,13.2692681564657
0.3,32.6761053537383,26.0585032981637,22.2994838485898
0.4,50.217094890223,29.0416203320916,32.1055820128736
0.5,53.2221481312242,35.0110383481092,33.985507315041
0.6,63.8835299609831,31.2593256314454,43.0092775726688
0.7,69.2728213793128,37.986236375622,49.8111603327898
0.8,76.173693786717,45.4566752153785,53.1878734564038
0.9,81.495342911829,44.6889765213663,58.8460634463082
1,87.3413900019208,39.8316191683695,63.5064601034004
