"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,13.8458331779329,7.74133103408468,9.8693694183914
0.2,25.8889596770969,13.1108697114116,14.6613878323571
0.3,32.5045582059902,16.6583590097913,19.1747110133534
0.4,31.3953169951192,16.6114199265654,26.6853727484837
0.5,39.2043943607235,19.6124189530695,32.6532542377016
0.6,46.3660205853566,27.9254371875988,35.0791021280703
0.7,53.6391381189396,27.2696816393541,36.2558270832936
0.8,67.9295727262481,33.8565913468646,43.7646022479654
0.9,75.2218607935776,37.433493082183,54.7868246406666
1,87.3413900019208,39.8316191683695,63.5064601034004
