"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,11.3751090177098,2.94620849210415,7.76192013922334
0.2,16.1813792708882,9.54487445563401,17.0504012248246
0.3,26.9973493436289,15.4682124719226,21.8722114683253
0.4,37.1877856738988,18.4330274651691,28.154817969172
0.5,43.1628223734292,20.7725935426999,35.2957217272915
0.6,44.9735546741396,25.5394284343381,42.4608117667147
0.7,56.5048675432954,32.1178536068696,46.0728329289994
0.8,68.6258817499873,30.2713276704104,51.7879126820128
0.9,75.2928131593203,35.0349082844949,57.5190466102074
1,87.3413900019208,39.8316191683695,63.5064601034004
