"","percentile","model","mean_sd"
"51",100,"Causal Forest","170.99 (155.14)"
"46",90,"Causal Forest","413.1 (176.42)"
"41",80,"Causal Forest","432.28 (154.92)"
"36",70,"Causal Forest","430.52 (138.83)"
"31",60,"Causal Forest","430.12 (132.31)"
"26",50,"Causal Forest","438.2 (110.43)"
"21",40,"Causal Forest","407.61 (127.63)"
"16",30,"Causal Forest","346.84 (124.9)"
"11",20,"Causal Forest","304.23 (115.39)"
"6",10,"Causal Forest","203.52 (82.57)"
"1",0,"Causal Forest","0 (0)"
"52",100,"CTS","170.99 (155.14)"
"47",90,"CTS","398.63 (144.52)"
"42",80,"CTS","399.21 (156.59)"
"37",70,"CTS","408.03 (129.23)"
"32",60,"CTS","378.46 (141.56)"
"27",50,"CTS","340.67 (127.58)"
"22",40,"CTS","305.55 (89.53)"
"17",30,"CTS","238.94 (104.66)"
"12",20,"CTS","206.09 (72.21)"
"7",10,"CTS","134.27 (66.86)"
"2",0,"CTS","0 (0)"
"53",100,"DOM","170.99 (155.14)"
"48",90,"DOM","886.86 (198.36)"
"43",80,"DOM","938.61 (185.52)"
"38",70,"DOM","947.87 (182.69)"
"33",60,"DOM","949.84 (182.71)"
"28",50,"DOM","917.62 (187.41)"
"23",40,"DOM","882.1 (183.61)"
"18",30,"DOM","822.86 (173.58)"
"13",20,"DOM","730.83 (175.57)"
"8",10,"DOM","569.65 (97.37)"
"3",0,"DOM","0 (0)"
"54",100,"random_forest_max","170.99 (155.14)"
"49",90,"random_forest_max","521.01 (166.88)"
"44",80,"random_forest_max","566.98 (165.92)"
"39",70,"random_forest_max","553.32 (138.73)"
"34",60,"random_forest_max","548.95 (147.62)"
"29",50,"random_forest_max","519.93 (156.55)"
"24",40,"random_forest_max","496.96 (147.67)"
"19",30,"random_forest_max","440.6 (144.39)"
"14",20,"random_forest_max","382.45 (136.44)"
"9",10,"random_forest_max","285.16 (100.8)"
"4",0,"random_forest_max","0 (0)"
"55",100,"SMA","170.99 (155.14)"
"50",90,"SMA","822.08 (182.91)"
"45",80,"SMA","839.53 (174.64)"
"40",70,"SMA","829.21 (192.24)"
"35",60,"SMA","824.97 (170.56)"
"30",50,"SMA","804.21 (167.55)"
"25",40,"SMA","764.85 (150)"
"20",30,"SMA","717.7 (130.02)"
"15",20,"SMA","649.9 (108.51)"
"10",10,"SMA","511.41 (93.89)"
"5",0,"SMA","0 (0)"
