"","percentile","model","mean_sd"
"51",100,"Causal Forest","120.35 (140.41)"
"46",90,"Causal Forest","371.64 (173.31)"
"41",80,"Causal Forest","409.81 (170.25)"
"36",70,"Causal Forest","420.84 (175.09)"
"31",60,"Causal Forest","419.19 (174.19)"
"26",50,"Causal Forest","406.34 (188.39)"
"21",40,"Causal Forest","373.21 (188.47)"
"16",30,"Causal Forest","335.26 (189.03)"
"11",20,"Causal Forest","278.81 (188.17)"
"6",10,"Causal Forest","218.58 (140.99)"
"1",0,"Causal Forest","0 (0)"
"52",100,"CTS","120.35 (140.41)"
"47",90,"CTS","421.59 (165.09)"
"42",80,"CTS","434.37 (172.64)"
"37",70,"CTS","430.77 (180.69)"
"32",60,"CTS","419.33 (163.21)"
"27",50,"CTS","380.42 (144.06)"
"22",40,"CTS","333.62 (147.01)"
"17",30,"CTS","277.17 (136.16)"
"12",20,"CTS","219.13 (112.52)"
"7",10,"CTS","153.89 (75.55)"
"2",0,"CTS","0 (0)"
"53",100,"DOM","120.35 (140.41)"
"48",90,"DOM","1020.58 (219.18)"
"43",80,"DOM","1070.38 (248.44)"
"38",70,"DOM","1077.56 (235.85)"
"33",60,"DOM","1082.19 (244.2)"
"28",50,"DOM","1076.3 (228.24)"
"23",40,"DOM","1057.97 (222.37)"
"18",30,"DOM","1029.91 (217.23)"
"13",20,"DOM","973.89 (207.45)"
"8",10,"DOM","826.94 (187.34)"
"3",0,"DOM","0 (0)"
"54",100,"random_forest_max","120.35 (140.41)"
"49",90,"random_forest_max","603.77 (166.14)"
"44",80,"random_forest_max","636.64 (189.6)"
"39",70,"random_forest_max","628.02 (195.96)"
"34",60,"random_forest_max","615.26 (188.1)"
"29",50,"random_forest_max","597.27 (183.18)"
"24",40,"random_forest_max","568.53 (177.63)"
"19",30,"random_forest_max","530.52 (154.54)"
"14",20,"random_forest_max","469.89 (148.6)"
"9",10,"random_forest_max","358.14 (124.66)"
"4",0,"random_forest_max","0 (0)"
"55",100,"SMA","120.35 (140.41)"
"50",90,"SMA","877.17 (205.08)"
"45",80,"SMA","904.65 (211.64)"
"40",70,"SMA","907.58 (207.21)"
"35",60,"SMA","903.09 (207.65)"
"30",50,"SMA","878.81 (210.2)"
"25",40,"SMA","828.58 (212.79)"
"20",30,"SMA","783.22 (215.63)"
"15",20,"SMA","669.06 (206.88)"
"10",10,"SMA","482.26 (202.54)"
"5",0,"SMA","0 (0)"
