"","percentile","model","mean_sd"
"51",100,"Causal Forest","0.4267 (0.0988)"
"46",90,"Causal Forest","0.4377 (0.1028)"
"41",80,"Causal Forest","0.4378 (0.1039)"
"36",70,"Causal Forest","0.43 (0.1083)"
"31",60,"Causal Forest","0.425 (0.1097)"
"26",50,"Causal Forest","0.4203 (0.1089)"
"21",40,"Causal Forest","0.4081 (0.1092)"
"16",30,"Causal Forest","0.3961 (0.1058)"
"11",20,"Causal Forest","0.3783 (0.1013)"
"6",10,"Causal Forest","0.3547 (0.1026)"
"1",0,"Causal Forest","0.1909 (0.0095)"
"52",100,"CTS","0.2957 (0.0912)"
"47",90,"CTS","0.2989 (0.0918)"
"42",80,"CTS","0.3006 (0.0929)"
"37",70,"CTS","0.3002 (0.0942)"
"32",60,"CTS","0.2952 (0.1005)"
"27",50,"CTS","0.2903 (0.0999)"
"22",40,"CTS","0.2816 (0.1017)"
"17",30,"CTS","0.2722 (0.0977)"
"12",20,"CTS","0.268 (0.0918)"
"7",10,"CTS","0.2501 (0.0808)"
"2",0,"CTS","0.1909 (0.0095)"
"53",100,"DOM","0.7215 (0.1238)"
"48",90,"DOM","0.7215 (0.1238)"
"43",80,"DOM","0.72 (0.1253)"
"38",70,"DOM","0.7182 (0.1256)"
"33",60,"DOM","0.7166 (0.1272)"
"28",50,"DOM","0.713 (0.1258)"
"23",40,"DOM","0.7068 (0.1269)"
"18",30,"DOM","0.6974 (0.126)"
"13",20,"DOM","0.6794 (0.1261)"
"8",10,"DOM","0.6308 (0.1172)"
"3",0,"DOM","0.1909 (0.0095)"
"54",100,"random_forest_max","0.5051 (0.1096)"
"49",90,"random_forest_max","0.5047 (0.1109)"
"44",80,"random_forest_max","0.5039 (0.1136)"
"39",70,"random_forest_max","0.4997 (0.114)"
"34",60,"random_forest_max","0.493 (0.1104)"
"29",50,"random_forest_max","0.483 (0.1151)"
"24",40,"random_forest_max","0.4777 (0.1148)"
"19",30,"random_forest_max","0.4667 (0.115)"
"14",20,"random_forest_max","0.4474 (0.1148)"
"9",10,"random_forest_max","0.4078 (0.1084)"
"4",0,"random_forest_max","0.1909 (0.0095)"
"55",100,"SMA","0.5561 (0.1114)"
"50",90,"SMA","0.5545 (0.1115)"
"45",80,"SMA","0.5554 (0.1115)"
"40",70,"SMA","0.5509 (0.1106)"
"35",60,"SMA","0.5477 (0.1103)"
"30",50,"SMA","0.5425 (0.1095)"
"25",40,"SMA","0.5269 (0.1188)"
"20",30,"SMA","0.4999 (0.1146)"
"15",20,"SMA","0.4513 (0.1141)"
"10",10,"SMA","0.3902 (0.1108)"
"5",0,"SMA","0.1909 (0.0095)"
