"","percentile","model","mean_sd"
"51",100,"Causal Forest","42.53 (16.09)"
"46",90,"Causal Forest","42.96 (16.31)"
"41",80,"Causal Forest","42.86 (16.46)"
"36",70,"Causal Forest","41.93 (16.8)"
"31",60,"Causal Forest","40.9 (16.85)"
"26",50,"Causal Forest","40.58 (17.34)"
"21",40,"Causal Forest","39.53 (16.76)"
"16",30,"Causal Forest","39.45 (16.34)"
"11",20,"Causal Forest","37.93 (16.7)"
"6",10,"Causal Forest","36.5 (16.46)"
"1",0,"Causal Forest","18.97 (0.89)"
"52",100,"CTS","41.36 (11.82)"
"47",90,"CTS","41.78 (11.71)"
"42",80,"CTS","42.05 (11.47)"
"37",70,"CTS","41.62 (11.23)"
"32",60,"CTS","41.05 (11.19)"
"27",50,"CTS","39.51 (10.62)"
"22",40,"CTS","38.89 (10.73)"
"17",30,"CTS","36.72 (8.58)"
"12",20,"CTS","33.74 (6.76)"
"7",10,"CTS","31.94 (7.31)"
"2",0,"CTS","19.34 (1.08)"
"53",100,"DOM","63.34 (24.86)"
"48",90,"DOM","63.34 (24.86)"
"43",80,"DOM","63.33 (24.89)"
"38",70,"DOM","63.27 (24.83)"
"33",60,"DOM","63.06 (24.76)"
"28",50,"DOM","62.69 (24.55)"
"23",40,"DOM","61.69 (24.72)"
"18",30,"DOM","60.72 (24.43)"
"13",20,"DOM","58.24 (24.27)"
"8",10,"DOM","52.94 (23.4)"
"3",0,"DOM","18.97 (0.89)"
"54",100,"random_forest_max","48.82 (19.28)"
"49",90,"random_forest_max","48.95 (19.23)"
"44",80,"random_forest_max","48.22 (19.16)"
"39",70,"random_forest_max","47.48 (19.51)"
"34",60,"random_forest_max","47.24 (19.52)"
"29",50,"random_forest_max","47.07 (19.74)"
"24",40,"random_forest_max","46.8 (19.54)"
"19",30,"random_forest_max","45.54 (19.67)"
"14",20,"random_forest_max","43.41 (18.89)"
"9",10,"random_forest_max","40.13 (18.79)"
"4",0,"random_forest_max","18.97 (0.89)"
"55",100,"SMA","51.61 (19.81)"
"50",90,"SMA","51.75 (19.86)"
"45",80,"SMA","50.09 (22.01)"
"40",70,"SMA","50.4 (22.1)"
"35",60,"SMA","49.85 (22.57)"
"30",50,"SMA","50.04 (22.67)"
"25",40,"SMA","49.37 (22.49)"
"20",30,"SMA","47.21 (21.91)"
"15",20,"SMA","45.89 (20.54)"
"10",10,"SMA","40.18 (17.85)"
"5",0,"SMA","18.97 (0.89)"
