"Percentile","Expected Outcome"
0,0.00572422050130036
0.05,0.00595646656819725
0.1,0.00628604032751641
0.15,0.00680251093022564
0.2,0.00731725938527689
0.25,0.00750286871676128
0.3,0.00754994461544064
0.35,0.00830055157740538
0.4,0.00830055157740538
0.45,0.011115431385737
0.5,0.011115431385737
0.55,0.011115431385737
0.6,0.011115431385737
0.65,0.011115431385737
0.7,0.011115431385737
0.75,0.011115431385737
0.8,0.011115431385737
0.85,0.011115431385737
0.9,0.0115371917195239
0.95,0.0117769629014318
1,0.0119186247856547
